id,marca,modelo,versao,ano_modelo,km,preco_antigo,novo_preco,parcela,cidade,estado,link,data_extracao
1,Renault,Kwid,Zen 1.0 Flex 12v 5p Mec.,2024/2025,25523.0,0.0,59700,884.0,Belo Horizonte Antonio Carlos,MG,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Renault/Kwid/1083821,2026-03-27 18:02:57
2,Renault,Kwid,Zen 1.0 Flex 12v 5p Mec.,2024/2025,37184.0,0.0,59700,884.0,Porto Alegre Sarandi,RS,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Renault/Kwid/1110444,2026-03-27 18:02:57
3,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2024/2025,62323.0,0.0,59700,884.0,Belém Senador,PA,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1119683,2026-03-27 18:02:57
4,Renault,Kwid,Zen 1.0 Flex 12v 5p Mec.,2024/2025,39272.0,0.0,59800,885.0,Itajaí,SC,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Renault/Kwid/1140790,2026-03-27 18:02:57
5,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2024/2024,50804.0,0.0,59800,885.0,Porto Alegre Sarandi,RS,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1093575,2026-03-27 18:02:57
6,Renault,Kwid,Zen 1.0 Flex 12v 5p Mec.,2024/2025,33131.0,0.0,59900,887.0,Fortaleza,CE,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Renault/Kwid/1074498,2026-03-27 18:02:57
7,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2023/2024,44835.0,0.0,59900,887.0,Rio de Janeiro Vila Valqueire,RJ,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1052827,2026-03-27 18:02:57
8,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2023/2024,39082.0,0.0,59900,887.0,Americana,SP,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1067135,2026-03-27 18:02:57
9,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2024/2024,40758.0,0.0,59900,887.0,Campinas Shopping Dom Pedro,SP,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1093760,2026-03-27 18:02:57
10,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2024/2024,44489.0,0.0,59900,887.0,São José dos Campos,SP,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1093122,2026-03-27 18:02:57
11,Fiat,Mobi,Like 1.0 Fire Flex 5p.,2023/2024,48363.0,0.0,59900,887.0,Campinas Orosimbo,SP,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Fiat/Mobi/1067175,2026-03-27 18:02:57
12,Renault,Kwid,Zen 1.0 Flex 12v 5p Mec.,2024/2025,33665.0,0.0,59900,887.0,Fortaleza Av. Santos Dumont,CE,https://www.seminovosmovida.com.br/veiculo/detalhe/Hatch/Renault/Kwid/1192039,2026-03-27 18:02:57
